problem_type,encoding,direction,problem_id,solver_id,repeat_index,seed,best_objective,feasible,objective_valid,objective_mismatch,best_known,best_known_reached,best_known_gap,stop_reason,runtime,linprog_runtime,evaluation_count,error,excluded_reason,metadata_json
mkp,binary,max,weish29,bsma_numba,12,428982779,9410,True,True,False,9410,True,0,best_known_reached,1.0458775269798934,0.03620760305784643,20020,,,"{""solve"": {""linprog_runtime"": 0.03620760305784643, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish30,bsma_numba,13,274262074,11187,True,True,False,11191,False,4,max_iterations_reached,15.969433634076267,0.19063924602232873,20020,,,"{""solve"": {""linprog_runtime"": 0.19063924602232873, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish29,bsma_numba,13,251419756,9410,True,True,False,9410,True,0,best_known_reached,0.07187213003635406,0.009778904961422086,20020,,,"{""solve"": {""linprog_runtime"": 0.009778904961422086, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish30,bsma_numba,14,200562899,11191,True,True,False,11191,True,0,best_known_reached,10.18884784099646,0.2421150729060173,20020,,,"{""solve"": {""linprog_runtime"": 0.2421150729060173, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish29,bsma_numba,14,1523178528,9410,True,True,False,9410,True,0,best_known_reached,0.6712340658996254,0.04985757195390761,20020,,,"{""solve"": {""linprog_runtime"": 0.04985757195390761, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish30,bsma_numba,15,1340374119,11191,True,True,False,11191,True,0,best_known_reached,12.119347050087526,0.30196876311674714,20020,,,"{""solve"": {""linprog_runtime"": 0.30196876311674714, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish29,bsma_numba,15,1053509569,9410,True,True,False,9410,True,0,best_known_reached,0.3722097370773554,0.03950020088814199,20020,,,"{""solve"": {""linprog_runtime"": 0.03950020088814199, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish30,bsma_numba,16,882521541,11191,True,True,False,11191,True,0,best_known_reached,10.665665458887815,0.22488476592116058,20020,,,"{""solve"": {""linprog_runtime"": 0.22488476592116058, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish29,bsma_numba,16,90222747,9410,True,True,False,9410,True,0,best_known_reached,0.517822670051828,0.03570496407337487,20020,,,"{""solve"": {""linprog_runtime"": 0.03570496407337487, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish30,bsma_numba,17,290639672,11187,True,True,False,11191,False,4,max_iterations_reached,16.05510552506894,0.15349290799349546,20020,,,"{""solve"": {""linprog_runtime"": 0.15349290799349546, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish29,bsma_numba,17,1498334939,9410,True,True,False,9410,True,0,best_known_reached,0.0730865930672735,0.0071808830834925175,20020,,,"{""solve"": {""linprog_runtime"": 0.0071808830834925175, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish30,bsma_numba,18,121373002,11191,True,True,False,11191,True,0,best_known_reached,10.906550807878375,0.25844141002744436,20020,,,"{""solve"": {""linprog_runtime"": 0.25844141002744436, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish29,bsma_numba,18,742203381,9410,True,True,False,9410,True,0,best_known_reached,0.6527390000410378,0.056179997976869345,20020,,,"{""solve"": {""linprog_runtime"": 0.056179997976869345, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish30,bsma_numba,19,221726947,11191,True,True,False,11191,True,0,best_known_reached,10.7279157130979,0.2671357581857592,20020,,,"{""solve"": {""linprog_runtime"": 0.2671357581857592, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish29,bsma_numba,19,67575478,9410,True,True,False,9410,True,0,best_known_reached,0.3468189178965986,0.09701026999391615,20020,,,"{""solve"": {""linprog_runtime"": 0.09701026999391615, ""numba"": true}, ""validation"": {}}"
