dataset,problem_id,seed,phase,iteration,rank,old_fit,new_fit,fit_match,old_solution_digest,new_solution_digest,solution_match
WEING,weing1,101,iteration_end,0,9,82723,82723,True,8634c5b0ea07a3ff,8634c5b0ea07a3ff,True
WEING,weing1,101,iteration_end,0,10,81108,81108,True,0940be562e2f3844,0940be562e2f3844,True
WEING,weing1,101,iteration_end,0,11,78841,78841,True,a1355a2507bce2e8,a1355a2507bce2e8,True
WEING,weing1,101,iteration_end,0,12,78831,78831,True,cd9d73c9bc7686eb,cd9d73c9bc7686eb,True
WEING,weing1,101,iteration_end,0,13,78582,78582,True,46756a38725827bd,46756a38725827bd,True
WEING,weing1,101,iteration_end,0,14,58603,58603,True,176d989e4d68b5a6,176d989e4d68b5a6,True
WEING,weing1,101,iteration_end,0,15,55713,55713,True,6bbc57e9039cb563,6bbc57e9039cb563,True
WEING,weing1,101,iteration_end,0,16,55449,55449,True,10e01cd6c9efccfd,10e01cd6c9efccfd,True
WEING,weing1,101,iteration_end,0,17,32493,32493,True,dd5090060f72926b,dd5090060f72926b,True
WEING,weing1,101,iteration_end,0,18,27275,27275,True,bbf7236617df0bee,bbf7236617df0bee,True
WEING,weing1,101,iteration_end,0,19,19030,19030,True,b46ac756ec8b4bbd,b46ac756ec8b4bbd,True
