dataset,problem_id,seed,phase,iteration,rank,old_fit,new_fit,fit_match,old_solution_digest,new_solution_digest,solution_match
WEING,weing1,101,initial_unsorted,-1,0,93951,93951,True,dfa76bdf478a3c6b,dfa76bdf478a3c6b,True
WEING,weing1,101,initial_unsorted,-1,1,49226,49226,True,44448fb4c64810a2,44448fb4c64810a2,True
WEING,weing1,101,initial_unsorted,-1,2,110583,110583,True,fb52b99b7413e6fd,fb52b99b7413e6fd,True
WEING,weing1,101,initial_unsorted,-1,3,116515,116515,True,d20ee24d6045cad7,d20ee24d6045cad7,True
WEING,weing1,101,initial_unsorted,-1,4,53515,53515,True,1e48cfd21808b95f,1e48cfd21808b95f,True
WEING,weing1,101,initial_unsorted,-1,5,39836,39836,True,d64d9c4484843273,d64d9c4484843273,True
WEING,weing1,101,initial_unsorted,-1,6,63743,63743,True,74aecc3311076cc1,74aecc3311076cc1,True
WEING,weing1,101,initial_unsorted,-1,7,85644,85644,True,2bf87da4e382a4c5,2bf87da4e382a4c5,True
WEING,weing1,101,initial_unsorted,-1,8,115545,115545,True,049561e27324d519,049561e27324d519,True
WEING,weing1,101,initial_unsorted,-1,9,91261,91261,True,5cf69f05fc8dc0e1,5cf69f05fc8dc0e1,True
WEING,weing1,101,initial_unsorted,-1,10,89158,89158,True,1aa4aeb4f776a6f5,1aa4aeb4f776a6f5,True
WEING,weing1,101,initial_unsorted,-1,11,70112,70112,True,5c359d8093640ddc,5c359d8093640ddc,True
WEING,weing1,101,initial_unsorted,-1,12,110135,110135,True,237d8fc982763d23,237d8fc982763d23,True
WEING,weing1,101,initial_unsorted,-1,13,83294,83294,True,3eb08228ed6648ee,3eb08228ed6648ee,True
WEING,weing1,101,initial_unsorted,-1,14,49052,49052,True,fd4b6f2ab84ca960,fd4b6f2ab84ca960,True
WEING,weing1,101,initial_unsorted,-1,15,82073,82073,True,a7e5e2564b7abe71,a7e5e2564b7abe71,True
WEING,weing1,101,initial_unsorted,-1,16,60386,60386,True,5b3a0cd239e6ac3f,5b3a0cd239e6ac3f,True
WEING,weing1,101,initial_unsorted,-1,17,108325,108325,True,dfbb19d9b5895600,dfbb19d9b5895600,True
WEING,weing1,101,initial_unsorted,-1,18,78557,78557,True,618a0893c3ae730e,618a0893c3ae730e,True
WEING,weing1,101,initial_unsorted,-1,19,50916,50916,True,fa438dda5c72660d,fa438dda5c72660d,True
WEING,weing1,101,initial_sorted,-1,0,116515,116515,True,d20ee24d6045cad7,d20ee24d6045cad7,True
WEING,weing1,101,initial_sorted,-1,1,115545,115545,True,049561e27324d519,049561e27324d519,True
WEING,weing1,101,initial_sorted,-1,2,110583,110583,True,fb52b99b7413e6fd,fb52b99b7413e6fd,True
WEING,weing1,101,initial_sorted,-1,3,110135,110135,True,237d8fc982763d23,237d8fc982763d23,True
WEING,weing1,101,initial_sorted,-1,4,108325,108325,True,dfbb19d9b5895600,dfbb19d9b5895600,True
WEING,weing1,101,initial_sorted,-1,5,93951,93951,True,dfa76bdf478a3c6b,dfa76bdf478a3c6b,True
WEING,weing1,101,initial_sorted,-1,6,91261,91261,True,5cf69f05fc8dc0e1,5cf69f05fc8dc0e1,True
WEING,weing1,101,initial_sorted,-1,7,89158,89158,True,1aa4aeb4f776a6f5,1aa4aeb4f776a6f5,True
WEING,weing1,101,initial_sorted,-1,8,85644,85644,True,2bf87da4e382a4c5,2bf87da4e382a4c5,True
WEING,weing1,101,initial_sorted,-1,9,83294,83294,True,3eb08228ed6648ee,3eb08228ed6648ee,True
WEING,weing1,101,initial_sorted,-1,10,82073,82073,True,a7e5e2564b7abe71,a7e5e2564b7abe71,True
WEING,weing1,101,initial_sorted,-1,11,78557,78557,True,618a0893c3ae730e,618a0893c3ae730e,True
WEING,weing1,101,initial_sorted,-1,12,70112,70112,True,5c359d8093640ddc,5c359d8093640ddc,True
WEING,weing1,101,initial_sorted,-1,13,63743,63743,True,74aecc3311076cc1,74aecc3311076cc1,True
WEING,weing1,101,initial_sorted,-1,14,60386,60386,True,5b3a0cd239e6ac3f,5b3a0cd239e6ac3f,True
WEING,weing1,101,initial_sorted,-1,15,53515,53515,True,1e48cfd21808b95f,1e48cfd21808b95f,True
WEING,weing1,101,initial_sorted,-1,16,50916,50916,True,fa438dda5c72660d,fa438dda5c72660d,True
WEING,weing1,101,initial_sorted,-1,17,49226,49226,True,44448fb4c64810a2,44448fb4c64810a2,True
WEING,weing1,101,initial_sorted,-1,18,49052,49052,True,fd4b6f2ab84ca960,fd4b6f2ab84ca960,True
WEING,weing1,101,initial_sorted,-1,19,39836,39836,True,d64d9c4484843273,d64d9c4484843273,True
WEING,weing1,101,iteration_end,0,0,139513,139513,True,86e677a8d9bfc01a,86e677a8d9bfc01a,True
WEING,weing1,101,iteration_end,0,1,139508,139508,True,fe3997dbe524e172,fe3997dbe524e172,True
WEING,weing1,101,iteration_end,0,2,139508,139508,True,fe3997dbe524e172,fe3997dbe524e172,True
WEING,weing1,101,iteration_end,0,3,139508,139508,True,fe3997dbe524e172,fe3997dbe524e172,True
WEING,weing1,101,iteration_end,0,4,138908,138908,True,dd93a0f73dcbe427,dd93a0f73dcbe427,True
WEING,weing1,101,iteration_end,0,5,138678,138678,True,b025d8e0790b27b8,b025d8e0790b27b8,True
WEING,weing1,101,iteration_end,0,6,137743,137743,True,539a78c75ad7c386,539a78c75ad7c386,True
WEING,weing1,101,iteration_end,0,7,133060,133060,True,c3909e9d0a574842,c3909e9d0a574842,True
WEING,weing1,101,iteration_end,0,8,131468,131468,True,411bdc44e6de7a3f,411bdc44e6de7a3f,True
WEING,weing1,101,iteration_end,0,9,129614,129614,True,71aed059a5758a72,71aed059a5758a72,True
WEING,weing1,101,iteration_end,0,10,129053,129053,True,a856191b3c493db4,a856191b3c493db4,True
WEING,weing1,101,iteration_end,0,11,128570,128570,True,ca1ae4127795d455,ca1ae4127795d455,True
WEING,weing1,101,iteration_end,0,12,122676,122676,True,acdede224d8ed8f4,acdede224d8ed8f4,True
WEING,weing1,101,iteration_end,0,13,121610,121610,True,29c3ca71ca956438,29c3ca71ca956438,True
WEING,weing1,101,iteration_end,0,14,115802,115802,True,7007a86d920612ec,7007a86d920612ec,True
WEING,weing1,101,iteration_end,0,15,115268,115268,True,173b5ee388048381,173b5ee388048381,True
WEING,weing1,101,iteration_end,0,16,109738,109738,True,82dfcac71c35ba1a,82dfcac71c35ba1a,True
WEING,weing1,101,iteration_end,0,17,102683,102683,True,75e498cddc989d94,75e498cddc989d94,True
WEING,weing1,101,iteration_end,0,18,98085,98085,True,d64b55258228c29e,d64b55258228c29e,True
WEING,weing1,101,iteration_end,0,19,70458,70458,True,d7f3039b55af26c1,d7f3039b55af26c1,True
WEING,weing1,101,iteration_end,1,0,141278,141278,True,16e4fbee718caa09,16e4fbee718caa09,True
WEING,weing1,101,iteration_end,1,1,141278,141278,True,16e4fbee718caa09,16e4fbee718caa09,True
WEING,weing1,101,iteration_end,1,2,140768,140768,True,d58fdaee411e24d4,d58fdaee411e24d4,True
WEING,weing1,101,iteration_end,1,3,140443,140443,True,677a57fc0afd0ace,677a57fc0afd0ace,True
WEING,weing1,101,iteration_end,1,4,139613,139613,True,cb3275df5ec924ff,cb3275df5ec924ff,True
WEING,weing1,101,iteration_end,1,5,139508,139508,True,fe3997dbe524e172,fe3997dbe524e172,True
WEING,weing1,101,iteration_end,1,6,138343,138343,True,c2b7e0e96ad2e083,c2b7e0e96ad2e083,True
WEING,weing1,101,iteration_end,1,7,135903,135903,True,e3f8c7b542aae516,e3f8c7b542aae516,True
WEING,weing1,101,iteration_end,1,8,134283,134283,True,64a1aa7a01ec9fa4,64a1aa7a01ec9fa4,True
WEING,weing1,101,iteration_end,1,9,129505,129505,True,ed4f9ee29dd78851,ed4f9ee29dd78851,True
WEING,weing1,101,iteration_end,1,10,129288,129288,True,be27712e98ca55d4,be27712e98ca55d4,True
WEING,weing1,101,iteration_end,1,11,128813,128813,True,aca1c6a3ba6df88c,aca1c6a3ba6df88c,True
WEING,weing1,101,iteration_end,1,12,121195,121195,True,f51bd19984d63d19,f51bd19984d63d19,True
WEING,weing1,101,iteration_end,1,13,119574,119574,True,e3f3551be1c30d48,e3f3551be1c30d48,True
WEING,weing1,101,iteration_end,1,14,115145,115145,True,5f4b1f8039af0f6b,5f4b1f8039af0f6b,True
WEING,weing1,101,iteration_end,1,15,109576,109576,True,f4624fac06d9529b,f4624fac06d9529b,True
WEING,weing1,101,iteration_end,1,16,108895,108895,True,859e06c1cfed1be9,859e06c1cfed1be9,True
WEING,weing1,101,iteration_end,1,17,107477,107477,True,09a9eac3a9ec6199,09a9eac3a9ec6199,True
WEING,weing1,101,iteration_end,1,18,90146,90146,True,20de2cc3becccefb,20de2cc3becccefb,True
WEING,weing1,101,iteration_end,1,19,83489,83489,True,92a68373fcce8042,92a68373fcce8042,True
