dataset,problem_id,seed,phase,iteration,rank,old_fit,new_fit,fit_match,old_solution_digest,new_solution_digest,solution_match
WEING,weing2,101,iteration_end,0,10,115795,115795,True,61e191db6bc7612a,61e191db6bc7612a,True
WEING,weing2,101,iteration_end,0,11,113400,113400,True,fbad2ef18eebec99,fbad2ef18eebec99,True
WEING,weing2,101,iteration_end,0,12,113107,113107,True,126945aaee5c90c5,126945aaee5c90c5,True
WEING,weing2,101,iteration_end,0,13,111653,111653,True,52cfa18c260d79c2,52cfa18c260d79c2,True
WEING,weing2,101,iteration_end,0,14,110827,110827,True,aaeadbdfca8260b9,aaeadbdfca8260b9,True
WEING,weing2,101,iteration_end,0,15,110091,110091,True,a61b883c3661ca9c,a61b883c3661ca9c,True
WEING,weing2,101,iteration_end,0,16,109475,109475,True,c1858ad71e3edc2c,c1858ad71e3edc2c,True
WEING,weing2,101,iteration_end,0,17,108372,108372,True,50b0eedbeef26971,50b0eedbeef26971,True
WEING,weing2,101,iteration_end,0,18,101460,101460,True,fb42eeb5f1657414,fb42eeb5f1657414,True
WEING,weing2,101,iteration_end,0,19,97275,97275,True,f315131f0a218ff6,f315131f0a218ff6,True
WEING,weing2,101,iteration_end,1,0,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,1,1,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,1,2,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,1,3,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,1,4,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,1,5,127123,127123,True,6f46b485bb193711,6f46b485bb193711,True
WEING,weing2,101,iteration_end,1,6,125300,125300,True,6a81bb28c2eaa83d,6a81bb28c2eaa83d,True
WEING,weing2,101,iteration_end,1,7,120650,120650,True,cdd81111d7148b46,cdd81111d7148b46,True
WEING,weing2,101,iteration_end,1,8,119790,119790,True,07cca12a43f1bc25,07cca12a43f1bc25,True
WEING,weing2,101,iteration_end,1,9,118675,118675,True,f51e02105e52a12b,f51e02105e52a12b,True
WEING,weing2,101,iteration_end,1,10,115981,115981,True,b837ad92dddeffdd,b837ad92dddeffdd,True
WEING,weing2,101,iteration_end,1,11,115531,115531,True,3bf5f1513c39c507,3bf5f1513c39c507,True
WEING,weing2,101,iteration_end,1,12,112693,112693,True,feef21d6a2a580f8,feef21d6a2a580f8,True
WEING,weing2,101,iteration_end,1,13,110106,110106,True,fc528b8c485b653c,fc528b8c485b653c,True
WEING,weing2,101,iteration_end,1,14,106033,106033,True,238922d8ebe10355,238922d8ebe10355,True
WEING,weing2,101,iteration_end,1,15,102868,102868,True,5149bba860956812,5149bba860956812,True
WEING,weing2,101,iteration_end,1,16,98495,98495,True,6429bf71d894d4ab,6429bf71d894d4ab,True
WEING,weing2,101,iteration_end,1,17,97733,97733,True,7ad7de9edf310c38,7ad7de9edf310c38,True
WEING,weing2,101,iteration_end,1,18,95467,95467,True,393880dad082ffb9,393880dad082ffb9,True
WEING,weing2,101,iteration_end,1,19,76147,76147,True,dbaa7a45940d4cc9,dbaa7a45940d4cc9,True
WEING,weing2,101,iteration_end,2,0,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,2,1,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,2,2,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,2,3,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,2,4,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,2,5,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,2,6,129383,129383,True,6f77c33e2f1063f9,6f77c33e2f1063f9,True
WEING,weing2,101,iteration_end,2,7,129298,129298,True,0922bcec8769d2ca,0922bcec8769d2ca,True
WEING,weing2,101,iteration_end,2,8,122855,122855,True,8cf8bc576069a499,8cf8bc576069a499,True
WEING,weing2,101,iteration_end,2,9,119870,119870,True,ecd8e83ec56b8ed6,ecd8e83ec56b8ed6,True
WEING,weing2,101,iteration_end,2,10,118523,118523,True,f2bb58d9327ebc34,f2bb58d9327ebc34,True
WEING,weing2,101,iteration_end,2,11,117093,117093,True,f89de4d1a9006247,f89de4d1a9006247,True
WEING,weing2,101,iteration_end,2,12,115944,115944,True,8540abecdc84dc5d,8540abecdc84dc5d,True
WEING,weing2,101,iteration_end,2,13,112672,112672,True,0bbf584b5e39311c,0bbf584b5e39311c,True
WEING,weing2,101,iteration_end,2,14,111149,111149,True,954719933a05e172,954719933a05e172,True
WEING,weing2,101,iteration_end,2,15,108756,108756,True,948ce68b482fb502,948ce68b482fb502,True
WEING,weing2,101,iteration_end,2,16,102238,102238,True,4078a9aab5b42e6a,4078a9aab5b42e6a,True
WEING,weing2,101,iteration_end,2,17,102230,102230,True,a23a8d425e948f83,a23a8d425e948f83,True
WEING,weing2,101,iteration_end,2,18,100886,100886,True,0540153b7f6d5dbc,0540153b7f6d5dbc,True
WEING,weing2,101,iteration_end,2,19,91125,91125,True,8114d76e5f26e6f0,8114d76e5f26e6f0,True
WEING,weing2,101,iteration_end,3,0,130163,130163,True,69fe88630b3aabd6,69fe88630b3aabd6,True
WEING,weing2,101,iteration_end,3,1,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,3,2,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,3,3,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,3,4,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,3,5,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,3,6,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,3,7,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,3,8,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,3,9,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,3,10,127958,127958,True,5d66e99725df35b3,5d66e99725df35b3,True
WEING,weing2,101,iteration_end,3,11,122499,122499,True,3de30ffc6ed520e8,3de30ffc6ed520e8,True
WEING,weing2,101,iteration_end,3,12,120983,120983,True,0748baf7cc506a5c,0748baf7cc506a5c,True
WEING,weing2,101,iteration_end,3,13,120315,120315,True,b783cb3c2fbb0e13,b783cb3c2fbb0e13,True
WEING,weing2,101,iteration_end,3,14,117880,117880,True,9adf93244802fb1e,9adf93244802fb1e,True
WEING,weing2,101,iteration_end,3,15,115256,115256,True,e6021bdc96872912,e6021bdc96872912,True
WEING,weing2,101,iteration_end,3,16,106856,106856,True,47674616a94c3e87,47674616a94c3e87,True
WEING,weing2,101,iteration_end,3,17,103841,103841,True,dabbbc327a5da90c,dabbbc327a5da90c,True
WEING,weing2,101,iteration_end,3,18,101320,101320,True,251b81f860bca770,251b81f860bca770,True
WEING,weing2,101,iteration_end,3,19,79981,79981,True,1b1f7f81995aca3e,1b1f7f81995aca3e,True
WEING,weing2,101,iteration_end,4,0,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,4,1,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,4,2,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,4,3,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,4,4,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,4,5,128448,128448,True,93880f1eff021bb2,93880f1eff021bb2,True
WEING,weing2,101,iteration_end,4,6,125557,125557,True,853b963ffef5a622,853b963ffef5a622,True
WEING,weing2,101,iteration_end,4,7,120104,120104,True,b09c16df1e1ee50b,b09c16df1e1ee50b,True
WEING,weing2,101,iteration_end,4,8,119793,119793,True,2768b28a432357a3,2768b28a432357a3,True
WEING,weing2,101,iteration_end,4,9,116996,116996,True,9b041f839b2375cb,9b041f839b2375cb,True
WEING,weing2,101,iteration_end,4,10,114599,114599,True,67549b715f3e2f09,67549b715f3e2f09,True
WEING,weing2,101,iteration_end,4,11,113284,113284,True,0aa8001188764ed0,0aa8001188764ed0,True
WEING,weing2,101,iteration_end,4,12,111983,111983,True,421c794081953a4c,421c794081953a4c,True
WEING,weing2,101,iteration_end,4,13,111113,111113,True,ce11e67d82ddbbc7,ce11e67d82ddbbc7,True
WEING,weing2,101,iteration_end,4,14,105422,105422,True,3838bed3b64394d6,3838bed3b64394d6,True
WEING,weing2,101,iteration_end,4,15,103728,103728,True,89208613f3021f83,89208613f3021f83,True
WEING,weing2,101,iteration_end,4,16,100515,100515,True,0b2481b75403df8d,0b2481b75403df8d,True
WEING,weing2,101,iteration_end,4,17,95698,95698,True,1b826903ec43a9c9,1b826903ec43a9c9,True
WEING,weing2,101,iteration_end,4,18,94921,94921,True,f816e6bc0781f245,f816e6bc0781f245,True
WEING,weing2,101,iteration_end,4,19,64322,64322,True,6973ec3242f8d628,6973ec3242f8d628,True
WEING,weing2,101,iteration_end,5,0,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,5,1,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,5,2,123645,123645,True,b0d8f32852a38030,b0d8f32852a38030,True
WEING,weing2,101,iteration_end,5,3,122810,122810,True,a76c2559ac81b9b4,a76c2559ac81b9b4,True
WEING,weing2,101,iteration_end,5,4,121538,121538,True,6f40858b6c12f544,6f40858b6c12f544,True
WEING,weing2,101,iteration_end,5,5,119853,119853,True,d0c94104f0885ac8,d0c94104f0885ac8,True
WEING,weing2,101,iteration_end,5,6,118525,118525,True,923df138fdc16f56,923df138fdc16f56,True
WEING,weing2,101,iteration_end,5,7,114829,114829,True,e67cb514f6cfd6f1,e67cb514f6cfd6f1,True
WEING,weing2,101,iteration_end,5,8,111523,111523,True,d23156cb9d2d40f8,d23156cb9d2d40f8,True
WEING,weing2,101,iteration_end,5,9,109774,109774,True,da286edd4b44f98e,da286edd4b44f98e,True
WEING,weing2,101,iteration_end,5,10,109401,109401,True,eb41939f0bb435e2,eb41939f0bb435e2,True
