problem_type,encoding,direction,problem_id,solver_id,repeat_index,seed,best_objective,feasible,objective_valid,objective_mismatch,best_known,best_known_reached,best_known_gap,stop_reason,runtime,linprog_runtime,evaluation_count,error,excluded_reason,metadata_json
mkp,binary,max,weish26,bsma_numba,0,2088688543,9584,True,True,False,9584,True,0,best_known_reached,0.22114911582320929,0.031455646036192775,20020,,,"{""solve"": {""linprog_runtime"": 0.031455646036192775, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish27,bsma_numba,0,1884739677,9819,True,True,False,9819,True,0,best_known_reached,0.16849577496759593,0.013274134835228324,20020,,,"{""solve"": {""linprog_runtime"": 0.013274134835228324, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish28,bsma_numba,0,542690081,9492,True,True,False,9492,True,0,best_known_reached,0.09467253601178527,0.009088154882192612,20020,,,"{""solve"": {""linprog_runtime"": 0.009088154882192612, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish29,bsma_numba,0,2138923074,9410,True,True,False,9410,True,0,best_known_reached,0.1059287809766829,0.012381938984617591,20020,,,"{""solve"": {""linprog_runtime"": 0.012381938984617591, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish30,bsma_numba,0,28164243,11191,True,True,False,11191,True,0,best_known_reached,0.5872111988719553,0.006442069076001644,20020,,,"{""solve"": {""linprog_runtime"": 0.006442069076001644, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish01,bsma_numba,1,1552476262,4554,True,True,False,4554,True,0,best_known_reached,5.770028758095577,0.12256828299723566,20020,,,"{""solve"": {""linprog_runtime"": 0.12256828299723566, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish02,bsma_numba,1,1427978743,4536,True,True,False,4536,True,0,best_known_reached,0.2779654210899025,0.01821437804028392,20020,,,"{""solve"": {""linprog_runtime"": 0.01821437804028392, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish03,bsma_numba,1,2057846204,4115,True,True,False,4115,True,0,best_known_reached,0.2475476241670549,0.052102210000157356,20020,,,"{""solve"": {""linprog_runtime"": 0.052102210000157356, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish04,bsma_numba,1,732354600,4561,True,True,False,4561,True,0,best_known_reached,0.2123904579784721,0.027821870055049658,20020,,,"{""solve"": {""linprog_runtime"": 0.027821870055049658, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish05,bsma_numba,1,1920159865,4514,True,True,False,4514,True,0,best_known_reached,0.2648258649278432,0.037780765909701586,20020,,,"{""solve"": {""linprog_runtime"": 0.037780765909701586, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish06,bsma_numba,1,147162309,5557,True,True,False,5557,True,0,best_known_reached,0.3085963891353458,0.04906357591971755,20020,,,"{""solve"": {""linprog_runtime"": 0.04906357591971755, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish07,bsma_numba,1,592349587,5567,True,True,False,5567,True,0,best_known_reached,0.2140483718831092,0.021019303938373923,20020,,,"{""solve"": {""linprog_runtime"": 0.021019303938373923, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish08,bsma_numba,1,2017880792,5605,True,True,False,5605,True,0,best_known_reached,0.2187962958123535,0.01758496812544763,20020,,,"{""solve"": {""linprog_runtime"": 0.01758496812544763, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish09,bsma_numba,1,2030193097,5246,True,True,False,5246,True,0,best_known_reached,0.21459105610847473,0.03160570305772126,20020,,,"{""solve"": {""linprog_runtime"": 0.03160570305772126, ""numba"": true}, ""validation"": {}}"
